					
2	33	169	43	2521	403
6	33	46	2811	2528	
2	33	169	43	2522	403
6	33	46	2811	2565	
2	33	169	43	2537	403
6	33	46	2811	2562	
3	33	169	2536	2801	403
7	33	46	2812	2529	
3	33	169	2536	2804	403
8	33	46	1614		
3	33	169	2536	2805	403
145	33	46	2814	2566	
4	33	169	42	2520	
146	33	46	2815	2507	
147	33	44	2523		
147	33	44	2523		
5	33	44	2586		
5	33	44	2586		
138	33	44	2526		
138	33	44	2526		
4	33	169	42	2520	403
146	33	46	2815	2829	
150	33	44	2527		
145	33	46	2814	2530	
4	33	169	42	2519	403
146	33	46	2815	2829	
4	33	169	42	2508	
146	33	46	2815	2829	
4	33	169	42	2520	403
146	33	46	2815	2829	
150	33	44	2527		
